车号,CollectTime,if_off,v_diff1,a_min3,a_mean3,a_max3,整车钥匙状态catestd,v_diff3_bin
38,2020-10-12 23:07:42,0.0,-0.953125,-0.546875,-0.484375,0.046875,0.0,4
38,2020-10-12 23:07:44,0.0,-1.046875,-0.546875,-0.515625,0.046875,0.0,4
38,2020-10-12 23:07:46,0.0,-1.0,-0.546875,-0.5,0.046875,0.0,4
38,2020-10-12 23:07:48,0.0,-0.953125,-0.546875,-0.5,0.046875,0.0,4
38,2020-10-12 23:07:50,0.0,-1.046875,-0.546875,-0.5,0.046875,0.0,4
38,2020-10-12 23:07:52,0.0,-1.0,-0.546875,-0.5,0.046875,0.0,4
38,2020-10-12 23:07:54,0.0,-0.953125,-0.546875,-0.5,0.046875,0.0,4
38,2020-10-12 23:07:56,0.0,-1.046875,-0.546875,-0.5,0.046875,0.0,4
38,2020-10-12 23:07:58,0.0,-0.953125,-0.546875,-0.484375,0.046875,0.0,4
38,2020-10-12 23:08:00,0.0,-1.0,-0.546875,-0.5,0.046875,0.0,4
38,2020-10-12 23:08:02,0.0,-1.046875,-0.546875,-0.5,0.046875,0.0,4
38,2020-10-12 23:08:04,0.0,-1.0,-0.546875,-0.515625,0.0,0.0,4
38,2020-10-12 23:08:06,0.0,-0.953125,-0.546875,-0.5,0.046875,0.0,4
38,2020-10-12 23:08:08,0.0,-1.0,-0.5,-0.484375,0.046875,0.0,4
38,2020-10-12 23:08:10,0.0,-1.0,-0.5,-0.484375,0.046875,0.0,4
38,2020-10-12 23:08:12,0.0,-1.0,-0.5,-0.5,0.0,0.0,4
38,2020-10-12 23:08:14,0.0,-1.046875,-0.546875,-0.515625,0.0,0.0,4
38,2020-10-12 23:08:16,0.0,-0.953125,-0.546875,-0.5,0.046875,0.0,4
38,2020-10-12 23:08:18,0.0,-1.046875,-0.546875,-0.515625,0.046875,0.0,4
38,2020-10-12 23:08:20,0.0,-1.0,-0.546875,-0.5,0.046875,0.0,4
38,2020-10-12 23:08:22,0.0,-0.953125,-0.546875,-0.5,0.046875,0.0,4
38,2020-10-12 23:08:24,0.0,-1.046875,-0.546875,-0.5,0.046875,0.0,4
38,2020-10-12 23:55:49,-5.0,0.0,0.0,0.0,0.0,0.5477225575051662,5
38,2020-10-12 23:55:51,-4.0,0.0,0.0,0.0,0.0,0.4472135954999579,5
38,2020-10-13 07:35:15,-5.0,0.0,0.0,0.0,0.0,0.5477225575051662,5
38,2020-10-13 07:35:17,-4.0,0.0,0.0,0.0,0.0,0.4472135954999579,5
38,2020-10-13 08:40:54,-5.0,0.0,-1.109375,-0.044270833333333336,0.9765625,0.5477225575051662,5
38,2020-10-13 08:40:56,-4.0,0.0,-1.109375,-0.3697916666666667,0.0,0.4472135954999579,5
38,2020-10-13 08:41:18,-4.0,-1.015625,-1.015625,0.0,0.8828125,0.5477225575051662,4
38,2020-10-13 08:41:20,-4.0,0.0,-1.015625,-0.044270833333333336,0.8828125,0.4472135954999579,5
38,2020-10-13 09:06:01,-5.0,0.0,-1.34375,-0.6796875,0.0,0.8366600265340756,5
38,2020-10-13 09:06:03,-4.0,0.0,-0.6953125,-0.23177083333333334,0.0,0.7071067811865475,5
38,2020-10-13 10:00:45,-5.0,0.0,-1.0625,-0.6953125,0.0,0.5477225575051661,5
38,2020-10-13 10:00:47,-4.0,0.0,-1.0625,-0.3541666666666667,0.0,0.4472135954999578,5
38,2020-10-13 10:02:55,-5.0,0.0,-0.3203125,-0.10677083333333333,0.0,0.7071067811865475,5
38,2020-10-13 10:02:57,-4.0,0.0,0.0,0.0,0.0,0.44721359549995787,5
